TOOL:	xrun	22.03-s012: Started on Oct 24, 2024 at 10:33:50 CDT
xrun: 22.03-s012: (c) Copyright 1995-2023 Cadence Design Systems, Inc.
xrun: *W,CSSF: HDL source files with -R option will be ignored.
Loading snapshot worklib.stimulus:v .................... Done
xcelium> source /opt/coe/cadence/XCELIUM/tools/xcelium/files/xmsimrc
xcelium> run
xmsim: *W,DVEXACC: some objects excluded from $dumpvars due to access restrictions, use +access+r on command line for access to all objects.
            File: ./UART_tb.v, line = 62, pos = 12
           Scope: stimulus
            Time: 0 FS + 0

                   0Out:x <= Data_Bus:xxxxxxxx / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                   1Out:x <= Data_Bus:xxxxxxxx / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                   2Out:1 <= Data_Bus:xxxxxxxx / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:0
                   3Out:1 <= Data_Bus:xxxxxxxx / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:0
                   4Out:1 <= Data_Bus:xxxxxxxx / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:0
                   5Out:1 <= Data_Bus:xxxxxxxx / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:0
                   6Out:1 <= Data_Bus:xxxxxxxx / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:0
                   7Out:1 <= Data_Bus:xxxxxxxx / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:0
                   8Out:1 <= Data_Bus:xxxxxxxx / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                   9Out:1 <= Data_Bus:xxxxxxxx / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  10Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  11Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  12Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:1 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  13Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:1 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  14Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  15Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  16Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:1 / T_byte:0, Clock:0, rst_b:1
                  17Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:1 / T_byte:0, Clock:1, rst_b:1
                  18Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  19Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  20Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  21Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  22Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  23Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  24Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:1, Clock:0, rst_b:1
                  25Out:0 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:1, Clock:1, rst_b:1
                  26Out:0 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  27Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  28Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  29Out:0 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  30Out:0 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  31Out:0 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  32Out:0 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  33Out:0 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  34Out:0 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  35Out:0 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  36Out:0 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  37Out:0 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  38Out:0 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  39Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  40Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  41Out:0 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  42Out:0 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  43Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  44Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  45Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  46Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  47Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  48Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  49Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  50Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  51Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  52Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  53Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  54Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  55Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  56Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  57Out:1 <= Data_Bus:01000001 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  58Out:1 <= Data_Bus:01000010 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  59Out:1 <= Data_Bus:01000010 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                  60Out:1 <= Data_Bus:01000010 / Load_XMT_datareg:1 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                  61Out:1 <= Data_Bus:01000010 / Load_XMT_datareg:1 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
